id,device_id,timestamp,temperature,humidity,pressure_hpa,status
42,esp32_bmp280,2026-06-23 09:31:30,24.43,,1011.62,OK
43,arduino_dht22,2026-06-23 09:31:31,23.60,47.60,,OK
44,esp32_bmp280,2026-06-23 09:31:31,24.27,,1011.42,OK
45,esp32_bmp280,2026-06-23 09:31:32,24.20,,1013.11,OK
46,arduino_dht22,2026-06-23 09:31:33,23.00,45.40,,OK
47,esp32_bmp280,2026-06-23 09:31:33,24.29,,1012.52,OK
48,esp32_bmp280,2026-06-23 09:31:34,24.42,,1012.98,OK
49,arduino_dht22,2026-06-23 09:31:35,22.50,47.20,,OK
50,esp32_bmp280,2026-06-23 09:31:35,24.26,,1013.63,OK
51,esp32_bmp280,2026-06-23 09:31:36,24.42,,1012.46,OK
52,arduino_dht22,2026-06-23 09:31:37,23.50,45.10,,OK
53,esp32_bmp280,2026-06-23 09:31:37,24.34,,1012.56,OK
54,esp32_bmp280,2026-06-23 09:31:38,24.27,,1011.55,OK
55,arduino_dht22,2026-06-23 09:31:39,22.50,48.10,,OK
56,esp32_bmp280,2026-06-23 09:31:39,24.36,,1012.28,OK
57,esp32_bmp280,2026-06-23 09:31:40,24.16,,1012.32,OK
58,arduino_dht22,2026-06-23 09:31:41,22.70,46.00,,OK
59,esp32_bmp280,2026-06-23 09:31:41,24.23,,1012.76,OK
60,esp32_bmp280,2026-06-23 09:31:42,24.52,,1012.5,OK
61,arduino_dht22,2026-06-23 09:31:43,23.30,46.40,,OK
62,esp32_bmp280,2026-06-23 09:31:43,24.41,,1013.57,OK
63,esp32_bmp280,2026-06-23 09:31:44,24.32,,1012.78,OK
64,arduino_dht22,2026-06-23 09:31:45,22.90,47.40,,OK
65,esp32_bmp280,2026-06-23 09:31:45,24.51,,1013.93,OK
66,esp32_bmp280,2026-06-23 09:31:46,24.39,,1013.61,OK
67,arduino_dht22,2026-06-23 09:31:47,22.90,45.80,,OK
68,esp32_bmp280,2026-06-23 09:31:47,24.43,,1012.99,OK
69,esp32_bmp280,2026-06-23 09:31:48,24.26,,1013.63,OK
70,arduino_dht22,2026-06-23 09:31:49,23.00,46.10,,OK
71,esp32_bmp280,2026-06-23 09:31:49,24.30,,1012.48,OK
72,esp32_bmp280,2026-06-23 09:31:50,24.21,,1011.45,OK
73,arduino_dht22,2026-06-23 09:31:51,23.40,47.30,,OK
74,esp32_bmp280,2026-06-23 09:31:51,24.33,,1012.27,OK
75,esp32_bmp280,2026-06-23 09:31:52,24.39,,1012.33,OK
76,arduino_dht22,2026-06-23 09:31:53,23.10,46.00,,OK
77,esp32_bmp280,2026-06-23 09:31:53,24.39,,1011.87,OK
78,esp32_bmp280,2026-06-23 09:31:54,24.40,,1014.0,OK
79,arduino_dht22,2026-06-23 09:31:55,23.10,47.90,,OK
80,esp32_bmp280,2026-06-23 09:31:55,24.58,,1013.58,OK
81,esp32_bmp280,2026-06-23 09:31:56,24.48,,1011.94,OK
82,arduino_dht22,2026-06-23 09:31:57,23.00,46.50,,OK
83,esp32_bmp280,2026-06-23 09:31:57,24.37,,1012.3,OK
84,esp32_bmp280,2026-06-23 09:31:58,24.45,,1011.95,OK
85,arduino_dht22,2026-06-23 09:31:59,22.50,46.70,,OK
86,esp32_bmp280,2026-06-23 09:31:59,24.29,,1013.15,OK
87,esp32_bmp280,2026-06-23 09:32:00,24.25,,1011.58,OK
88,arduino_dht22,2026-06-23 09:32:01,22.40,45.20,,OK
89,esp32_bmp280,2026-06-23 09:32:01,24.42,,1012.99,OK
90,esp32_bmp280,2026-06-23 09:32:02,24.59,,1012.41,OK
91,arduino_dht22,2026-06-23 09:32:03,22.60,47.40,,OK
92,esp32_bmp280,2026-06-23 09:32:03,24.35,,1012.31,OK
93,esp32_bmp280,2026-06-23 09:32:04,24.58,,1013.97,OK
94,arduino_dht22,2026-06-23 09:32:05,23.70,47.90,,OK
95,esp32_bmp280,2026-06-23 09:32:05,24.39,,1013.6,OK
96,esp32_bmp280,2026-06-23 09:32:06,24.27,,1012.09,OK
97,arduino_dht22,2026-06-23 09:32:07,22.90,45.70,,OK
98,esp32_bmp280,2026-06-23 09:32:07,24.35,,1013.69,OK
99,esp32_bmp280,2026-06-23 09:32:08,24.31,,1013.82,OK
100,arduino_dht22,2026-06-23 09:32:09,22.50,45.30,,OK
101,esp32_bmp280,2026-06-23 09:32:09,24.33,,1013.33,OK
102,esp32_bmp280,2026-06-23 09:32:10,24.52,,1012.19,OK
103,arduino_dht22,2026-06-23 09:32:11,22.60,46.90,,OK
104,esp32_bmp280,2026-06-23 09:32:11,24.16,,1011.87,OK
105,esp32_bmp280,2026-06-23 09:32:12,24.53,,1012.8,OK
106,arduino_dht22,2026-06-23 09:32:13,23.70,46.30,,OK
107,esp32_bmp280,2026-06-23 09:32:13,24.22,,1013.96,OK
108,esp32_bmp280,2026-06-23 09:32:14,24.45,,1013.87,OK
109,arduino_dht22,2026-06-23 09:32:15,22.60,45.70,,OK
110,esp32_bmp280,2026-06-23 09:32:15,24.47,,1013.5,OK
111,esp32_bmp280,2026-06-23 09:32:16,24.34,,1012.83,OK
112,arduino_dht22,2026-06-23 09:32:17,23.60,48.40,,OK
113,esp32_bmp280,2026-06-23 09:32:17,24.42,,1012.41,OK
114,esp32_bmp280,2026-06-23 09:32:18,24.16,,1013.39,OK
115,arduino_dht22,2026-06-23 09:32:19,23.20,47.60,,OK
116,esp32_bmp280,2026-06-23 09:32:19,24.29,,1013.35,OK
117,esp32_bmp280,2026-06-23 09:32:20,24.58,,1013.69,OK
118,arduino_dht22,2026-06-23 09:32:21,23.40,46.60,,OK
119,esp32_bmp280,2026-06-23 09:32:21,24.61,,1012.97,OK
120,esp32_bmp280,2026-06-23 09:32:22,24.36,,1011.93,OK
121,arduino_dht22,2026-06-23 09:32:23,22.90,45.70,,OK
122,esp32_bmp280,2026-06-23 09:32:23,24.17,,1011.65,OK
123,esp32_bmp280,2026-06-23 09:32:24,24.21,,1013.8,OK
124,arduino_dht22,2026-06-23 09:32:25,22.80,45.40,,OK
125,esp32_bmp280,2026-06-23 09:32:25,24.42,,1013.29,OK
126,esp32_bmp280,2026-06-23 09:32:26,24.47,,1011.61,OK
127,arduino_dht22,2026-06-23 09:32:27,22.20,48.50,,OK
128,esp32_bmp280,2026-06-23 09:32:27,24.16,,1012.2,OK
129,esp32_bmp280,2026-06-23 09:32:28,24.22,,1011.64,OK
130,arduino_dht22,2026-06-23 09:32:29,23.80,45.30,,OK
131,esp32_bmp280,2026-06-23 09:32:29,24.21,,1013.37,OK
132,esp32_bmp280,2026-06-23 09:32:30,24.62,,1012.54,OK
133,arduino_dht22,2026-06-23 09:32:31,23.50,46.60,,OK
134,esp32_bmp280,2026-06-23 09:32:31,24.65,,1011.46,OK
135,esp32_bmp280,2026-06-23 09:32:32,24.35,,1012.85,OK
136,arduino_dht22,2026-06-23 09:32:33,23.30,48.00,,OK
137,esp32_bmp280,2026-06-23 09:32:33,24.39,,1012.3,OK
138,esp32_bmp280,2026-06-23 09:32:34,24.15,,1011.83,OK
139,arduino_dht22,2026-06-23 09:32:35,23.50,47.60,,OK
140,esp32_bmp280,2026-06-23 09:32:35,24.43,,1011.48,OK
141,esp32_bmp280,2026-06-23 09:32:36,24.42,,1011.51,OK
142,arduino_dht22,2026-06-23 09:32:37,22.50,47.80,,OK
143,esp32_bmp280,2026-06-23 09:32:37,24.27,,1012.77,OK
144,esp32_bmp280,2026-06-23 09:32:38,24.59,,1012.12,OK
145,arduino_dht22,2026-06-23 09:32:39,22.10,47.90,,OK
146,esp32_bmp280,2026-06-23 09:32:39,24.23,,1011.44,OK
147,esp32_bmp280,2026-06-23 09:32:40,24.61,,1013.08,OK
148,arduino_dht22,2026-06-23 09:32:41,22.30,48.40,,OK
149,esp32_bmp280,2026-06-23 09:32:41,24.44,,1013.77,OK
150,esp32_bmp280,2026-06-23 09:32:42,24.31,,1013.59,OK
151,arduino_dht22,2026-06-23 09:32:43,22.40,48.20,,OK
152,esp32_bmp280,2026-06-23 09:32:43,24.45,,1013.07,OK
153,esp32_bmp280,2026-06-23 09:32:44,24.59,,1013.36,OK
154,arduino_dht22,2026-06-23 09:32:45,23.40,48.10,,OK
155,esp32_bmp280,2026-06-23 09:32:45,24.27,,1013.92,OK
156,esp32_bmp280,2026-06-23 09:32:46,24.60,,1011.97,OK
157,arduino_dht22,2026-06-23 09:32:47,23.80,45.40,,OK
158,esp32_bmp280,2026-06-23 09:32:47,24.53,,1012.36,OK
159,esp32_bmp280,2026-06-23 09:32:48,24.37,,1013.23,OK
160,arduino_dht22,2026-06-23 09:32:49,23.60,48.40,,OK
161,esp32_bmp280,2026-06-23 09:32:50,24.45,,1013.43,OK
162,esp32_bmp280,2026-06-23 09:32:51,24.21,,1011.73,OK
163,arduino_dht22,2026-06-23 09:32:51,22.30,45.60,,OK
164,esp32_bmp280,2026-06-23 09:32:52,24.41,,1012.05,OK
165,esp32_bmp280,2026-06-23 09:32:53,24.33,,1012.18,OK
166,arduino_dht22,2026-06-23 09:32:53,23.60,46.90,,OK
167,esp32_bmp280,2026-06-23 09:32:54,24.19,,1013.23,OK
168,esp32_bmp280,2026-06-23 09:32:55,24.47,,1011.41,OK
169,arduino_dht22,2026-06-23 09:32:55,23.40,48.10,,OK
170,esp32_bmp280,2026-06-23 09:32:56,24.21,,1011.92,OK
171,esp32_bmp280,2026-06-23 09:32:57,24.64,,1011.93,OK
172,arduino_dht22,2026-06-23 09:32:57,22.20,46.20,,OK
173,esp32_bmp280,2026-06-23 09:32:58,24.37,,1011.78,OK
174,esp32_bmp280,2026-06-23 09:32:59,24.17,,1011.83,OK
175,arduino_dht22,2026-06-23 09:32:59,23.70,46.30,,OK
176,esp32_bmp280,2026-06-23 09:33:00,24.57,,1013.86,OK
177,esp32_bmp280,2026-06-23 09:33:01,24.27,,1013.62,OK
178,arduino_dht22,2026-06-23 09:33:01,23.40,46.60,,OK
179,esp32_bmp280,2026-06-23 09:33:02,24.41,,1013.83,OK
180,esp32_bmp280,2026-06-23 09:33:03,24.53,,1012.87,OK
181,arduino_dht22,2026-06-23 09:33:03,22.50,47.50,,OK
182,esp32_bmp280,2026-06-23 09:33:04,24.53,,1013.25,OK
183,esp32_bmp280,2026-06-23 09:33:05,24.47,,1012.71,OK
184,arduino_dht22,2026-06-23 09:33:05,22.30,46.30,,OK
185,esp32_bmp280,2026-06-23 09:33:06,24.62,,1012.98,OK
186,esp32_bmp280,2026-06-23 09:33:07,24.29,,1013.57,OK
187,arduino_dht22,2026-06-23 09:33:07,22.10,45.40,,OK
188,esp32_bmp280,2026-06-23 09:33:08,24.24,,1013.76,OK
189,esp32_bmp280,2026-06-23 09:33:09,24.31,,1012.27,OK
190,arduino_dht22,2026-06-23 09:33:09,23.10,48.10,,OK
191,esp32_bmp280,2026-06-23 09:33:10,24.37,,1012.08,OK
192,esp32_bmp280,2026-06-23 09:33:11,24.42,,1012.15,OK
193,arduino_dht22,2026-06-23 09:33:11,23.40,47.50,,OK
194,esp32_bmp280,2026-06-23 09:33:12,24.58,,1012.21,OK
195,esp32_bmp280,2026-06-23 09:33:13,24.43,,1012.16,OK
196,arduino_dht22,2026-06-23 09:33:13,22.70,48.30,,OK
197,esp32_bmp280,2026-06-23 09:33:14,24.36,,1012.09,OK
198,esp32_bmp280,2026-06-23 09:33:15,24.35,,1012.67,OK
199,arduino_dht22,2026-06-23 11:11:39,23.20,47.90,,OK
200,esp32_bmp280,2026-06-23 11:11:39,24.43,,1013.66,OK
201,esp32_bmp280,2026-06-23 11:11:40,24.43,,1011.68,OK
202,arduino_dht22,2026-06-23 11:11:41,23.70,47.30,,OK
203,esp32_bmp280,2026-06-23 11:11:41,24.34,,1013.1,OK
204,esp32_bmp280,2026-06-23 11:11:42,24.56,,1011.94,OK
205,arduino_dht22,2026-06-23 11:11:43,23.70,46.40,,OK
206,esp32_bmp280,2026-06-23 11:11:43,24.47,,1012.13,OK
207,esp32_bmp280,2026-06-23 11:11:44,24.44,,1012.54,OK
208,arduino_dht22,2026-06-23 11:11:45,22.80,45.70,,OK
209,esp32_bmp280,2026-06-23 11:11:45,24.22,,1012.97,OK
210,esp32_bmp280,2026-06-23 11:11:46,24.58,,1012.51,OK
211,arduino_dht22,2026-06-23 11:11:47,22.20,47.20,,OK
212,esp32_bmp280,2026-06-23 11:11:47,24.28,,1012.23,OK
213,esp32_bmp280,2026-06-23 11:11:48,24.55,,1012.46,OK
214,arduino_dht22,2026-06-23 11:11:49,23.20,46.10,,OK
215,esp32_bmp280,2026-06-23 11:11:49,24.19,,1011.45,OK
216,esp32_bmp280,2026-06-23 11:11:50,24.18,,1014.03,OK
217,arduino_dht22,2026-06-23 11:11:51,22.50,45.20,,OK
218,esp32_bmp280,2026-06-23 11:11:51,24.22,,1013.64,OK
219,esp32_bmp280,2026-06-23 11:11:52,24.36,,1011.62,OK
220,arduino_dht22,2026-06-23 11:11:53,23.70,47.20,,OK
221,esp32_bmp280,2026-06-23 11:11:53,24.57,,1012.06,OK
222,esp32_bmp280,2026-06-23 11:11:54,24.50,,1013.25,OK
223,arduino_dht22,2026-06-23 11:11:55,23.30,46.40,,OK
224,esp32_bmp280,2026-06-23 11:11:55,24.46,,1011.74,OK
225,esp32_bmp280,2026-06-23 11:11:56,24.27,,1013.57,OK
226,arduino_dht22,2026-06-23 11:11:57,22.20,47.60,,OK
227,esp32_bmp280,2026-06-23 11:11:57,24.15,,1012.35,OK
228,esp32_bmp280,2026-06-23 11:11:58,24.54,,1012.63,OK
229,arduino_dht22,2026-06-23 11:11:59,22.50,45.90,,OK
230,esp32_bmp280,2026-06-23 11:11:59,24.17,,1013.92,OK
231,esp32_bmp280,2026-06-23 11:12:00,24.32,,1013.12,OK
232,arduino_dht22,2026-06-23 11:12:01,23.70,47.40,,OK
233,esp32_bmp280,2026-06-23 11:12:01,24.54,,1012.73,OK
234,esp32_bmp280,2026-06-23 11:12:02,24.56,,1012.04,OK
235,arduino_dht22,2026-06-23 11:12:03,22.60,47.60,,OK
236,esp32_bmp280,2026-06-23 11:12:03,24.60,,1013.71,OK
237,esp32_bmp280,2026-06-23 11:12:04,24.62,,1012.03,OK
238,arduino_dht22,2026-06-23 11:12:05,23.70,45.30,,OK
239,esp32_bmp280,2026-06-23 11:12:05,24.58,,1013.42,OK
240,esp32_bmp280,2026-06-23 11:12:06,24.57,,1013.13,OK
241,arduino_dht22,2026-06-23 11:12:07,22.50,48.40,,OK
242,esp32_bmp280,2026-06-23 11:12:07,24.42,,1011.88,OK
243,esp32_bmp280,2026-06-23 11:12:08,24.61,,1012.89,OK
244,arduino_dht22,2026-06-23 11:12:09,22.60,45.00,,OK
245,esp32_bmp280,2026-06-23 11:12:09,24.45,,1011.42,OK
246,esp32_bmp280,2026-06-23 11:12:10,24.51,,1013.13,OK
247,arduino_dht22,2026-06-23 11:12:11,22.20,46.10,,OK
248,esp32_bmp280,2026-06-23 11:12:11,24.63,,1012.95,OK
249,esp32_bmp280,2026-06-23 11:12:12,24.22,,1013.22,OK
250,arduino_dht22,2026-06-23 11:12:13,23.00,46.20,,OK
251,esp32_bmp280,2026-06-23 11:12:13,24.17,,1011.88,OK
252,esp32_bmp280,2026-06-23 11:12:14,24.52,,1013.54,OK
253,arduino_dht22,2026-06-23 11:12:15,22.70,45.30,,OK
254,esp32_bmp280,2026-06-23 11:12:15,24.18,,1012.01,OK
255,esp32_bmp280,2026-06-23 11:12:16,24.53,,1013.9,OK
256,arduino_dht22,2026-06-23 11:12:17,23.70,45.20,,OK
257,esp32_bmp280,2026-06-23 11:12:17,24.46,,1014.01,OK
258,esp32_bmp280,2026-06-23 11:12:18,24.20,,1012.13,OK
259,arduino_dht22,2026-06-23 11:12:19,23.00,45.30,,OK
260,esp32_bmp280,2026-06-23 11:12:19,24.27,,1011.86,OK
261,esp32_bmp280,2026-06-23 11:12:20,24.24,,1013.42,OK
262,arduino_dht22,2026-06-23 11:12:21,23.00,46.00,,OK
263,esp32_bmp280,2026-06-23 11:12:21,24.39,,1011.67,OK
264,esp32_bmp280,2026-06-23 11:12:22,24.40,,1014.01,OK
265,arduino_dht22,2026-06-23 11:12:23,22.60,45.70,,OK
266,esp32_bmp280,2026-06-23 11:12:23,24.57,,1012.4,OK
267,esp32_bmp280,2026-06-23 11:12:24,24.61,,1012.19,OK
268,arduino_dht22,2026-06-23 11:12:25,23.40,46.90,,OK
269,esp32_bmp280,2026-06-23 11:12:25,24.64,,1013.17,OK
270,esp32_bmp280,2026-06-23 11:12:26,24.20,,1012.29,OK
271,arduino_dht22,2026-06-23 11:12:27,22.40,45.90,,OK
272,esp32_bmp280,2026-06-23 11:12:27,24.37,,1013.93,OK
273,esp32_bmp280,2026-06-23 11:12:28,24.39,,1012.49,OK
274,arduino_dht22,2026-06-23 11:12:29,22.90,45.10,,OK
275,esp32_bmp280,2026-06-23 11:12:29,24.21,,1012.44,OK
276,esp32_bmp280,2026-06-23 11:12:30,24.38,,1013.65,OK
277,arduino_dht22,2026-06-23 11:12:31,23.20,48.10,,OK
278,esp32_bmp280,2026-06-23 11:12:31,24.23,,1011.48,OK
279,esp32_bmp280,2026-06-23 11:12:32,24.42,,1013.21,OK
280,arduino_dht22,2026-06-23 11:12:33,23.00,46.00,,OK
281,esp32_bmp280,2026-06-23 11:12:33,24.45,,1013.34,OK
282,esp32_bmp280,2026-06-23 11:12:34,24.39,,1013.36,OK
283,arduino_dht22,2026-06-23 11:12:35,23.60,47.50,,OK
284,esp32_bmp280,2026-06-23 11:12:35,24.51,,1013.78,OK
285,esp32_bmp280,2026-06-23 11:12:36,24.42,,1012.23,OK
286,arduino_dht22,2026-06-23 11:12:37,22.10,47.00,,OK
287,esp32_bmp280,2026-06-23 11:12:37,24.18,,1013.01,OK
288,esp32_bmp280,2026-06-23 11:12:38,24.15,,1013.03,OK
289,arduino_dht22,2026-06-23 11:12:39,23.10,47.70,,OK
290,esp32_bmp280,2026-06-23 11:12:39,24.41,,1011.77,OK
291,esp32_bmp280,2026-06-23 11:12:40,24.52,,1013.5,OK
292,arduino_dht22,2026-06-23 11:12:41,23.60,47.50,,OK
293,esp32_bmp280,2026-06-23 11:12:41,24.56,,1013.98,OK
294,esp32_bmp280,2026-06-23 11:12:42,24.17,,1011.75,OK
295,arduino_dht22,2026-06-23 11:12:43,23.30,45.10,,OK
296,esp32_bmp280,2026-06-23 11:12:43,24.28,,1013.5,OK
297,esp32_bmp280,2026-06-23 11:12:44,24.32,,1012.52,OK
298,arduino_dht22,2026-06-23 11:12:45,23.00,47.90,,OK
299,esp32_bmp280,2026-06-23 11:12:45,24.20,,1012.44,OK
300,esp32_bmp280,2026-06-23 11:12:46,24.38,,1012.62,OK
301,arduino_dht22,2026-06-23 11:12:47,22.90,46.30,,OK
302,esp32_bmp280,2026-06-23 11:12:47,24.41,,1011.74,OK
303,esp32_bmp280,2026-06-23 11:12:48,24.18,,1013.93,OK
304,arduino_dht22,2026-06-23 11:12:49,22.40,46.80,,OK
305,esp32_bmp280,2026-06-23 11:12:49,24.63,,1014.02,OK
306,esp32_bmp280,2026-06-23 11:12:50,24.52,,1011.81,OK
307,arduino_dht22,2026-06-23 11:12:51,22.80,46.50,,OK
308,esp32_bmp280,2026-06-23 11:12:51,24.26,,1013.69,OK
309,esp32_bmp280,2026-06-23 11:12:52,24.54,,1011.64,OK
310,arduino_dht22,2026-06-23 11:12:53,23.80,48.10,,OK
311,esp32_bmp280,2026-06-23 11:12:53,24.34,,1013.01,OK
312,esp32_bmp280,2026-06-23 11:12:54,24.27,,1013.41,OK
313,arduino_dht22,2026-06-23 11:12:55,22.80,46.10,,OK
314,esp32_bmp280,2026-06-23 11:12:55,24.53,,1011.76,OK
315,esp32_bmp280,2026-06-23 11:12:56,24.43,,1012.51,OK
316,arduino_dht22,2026-06-23 11:12:57,23.10,45.10,,OK
317,esp32_bmp280,2026-06-23 11:12:57,24.60,,1013.23,OK
318,esp32_bmp280,2026-06-23 11:12:58,24.55,,1012.28,OK
319,arduino_dht22,2026-06-23 11:12:59,23.50,47.60,,OK
320,esp32_bmp280,2026-06-23 11:12:59,24.23,,1012.83,OK
321,esp32_bmp280,2026-06-23 11:13:00,24.27,,1011.63,OK
322,arduino_dht22,2026-06-23 11:13:01,22.80,46.90,,OK
323,esp32_bmp280,2026-06-23 11:13:01,24.46,,1011.82,OK
324,esp32_bmp280,2026-06-23 11:13:02,24.15,,1013.51,OK
325,arduino_dht22,2026-06-23 11:13:03,22.50,45.50,,OK
326,esp32_bmp280,2026-06-23 11:13:03,24.38,,1013.62,OK
327,esp32_bmp280,2026-06-23 11:13:04,24.25,,1014.09,OK
328,arduino_dht22,2026-06-23 11:13:05,22.70,48.00,,OK
329,esp32_bmp280,2026-06-23 11:13:05,24.37,,1013.33,OK
330,esp32_bmp280,2026-06-23 11:13:06,24.56,,1012.16,OK
331,arduino_dht22,2026-06-23 11:13:07,22.80,47.40,,OK
332,esp32_bmp280,2026-06-23 11:13:07,24.33,,1013.17,OK
333,esp32_bmp280,2026-06-23 11:13:08,24.31,,1012.05,OK
334,arduino_dht22,2026-06-23 11:13:09,22.70,46.00,,OK
335,esp32_bmp280,2026-06-23 11:13:09,24.64,,1011.73,OK
336,esp32_bmp280,2026-06-23 11:13:10,24.45,,1011.79,OK
337,arduino_dht22,2026-06-23 11:13:11,22.80,46.00,,OK
338,esp32_bmp280,2026-06-23 11:13:11,24.28,,1012.91,OK
339,esp32_bmp280,2026-06-23 11:13:12,24.58,,1011.65,OK
340,arduino_dht22,2026-06-23 11:13:13,22.50,47.60,,OK
341,esp32_bmp280,2026-06-23 11:13:13,24.34,,1011.96,OK
342,esp32_bmp280,2026-06-23 11:13:14,24.38,,1013.32,OK
343,arduino_dht22,2026-06-23 11:13:15,22.10,46.80,,OK
344,esp32_bmp280,2026-06-23 11:13:15,24.55,,1011.84,OK
345,esp32_bmp280,2026-06-23 11:13:16,24.36,,1014.02,OK
346,arduino_dht22,2026-06-23 11:13:17,23.40,48.20,,OK
347,esp32_bmp280,2026-06-23 11:13:17,24.62,,1013.3,OK
348,esp32_bmp280,2026-06-23 11:13:18,24.31,,1011.61,OK
349,arduino_dht22,2026-06-23 11:13:19,22.10,46.10,,OK
350,esp32_bmp280,2026-06-23 11:13:19,24.52,,1011.6,OK
351,esp32_bmp280,2026-06-23 11:13:20,24.21,,1013.62,OK
352,arduino_dht22,2026-06-23 11:13:21,23.00,48.30,,OK
353,esp32_bmp280,2026-06-23 11:13:21,24.62,,1011.74,OK
354,esp32_bmp280,2026-06-23 11:13:22,24.18,,1012.09,OK
355,arduino_dht22,2026-06-23 11:13:23,23.80,47.10,,OK
356,esp32_bmp280,2026-06-23 11:13:23,24.59,,1012.95,OK
357,esp32_bmp280,2026-06-23 11:13:24,24.60,,1013.85,OK
358,arduino_dht22,2026-06-23 11:13:25,23.20,46.70,,OK
359,esp32_bmp280,2026-06-23 11:13:25,24.33,,1012.17,OK
360,esp32_bmp280,2026-06-23 11:13:26,24.28,,1013.91,OK
361,arduino_dht22,2026-06-23 11:13:27,23.60,48.00,,OK
362,esp32_bmp280,2026-06-23 11:13:27,24.24,,1013.56,OK
363,esp32_bmp280,2026-06-23 11:13:28,24.58,,1012.46,OK
364,arduino_dht22,2026-06-23 11:13:29,23.10,45.60,,OK
365,esp32_bmp280,2026-06-23 11:13:29,24.25,,1012.81,OK
366,esp32_bmp280,2026-06-23 11:13:30,24.40,,1011.88,OK
367,arduino_dht22,2026-06-23 11:13:31,22.30,47.50,,OK
368,esp32_bmp280,2026-06-23 11:13:31,24.33,,1014.03,OK
369,esp32_bmp280,2026-06-23 11:13:32,24.56,,1013.24,OK
370,arduino_dht22,2026-06-23 11:13:33,23.60,48.10,,OK
371,esp32_bmp280,2026-06-23 11:13:33,24.35,,1011.7,OK
372,esp32_bmp280,2026-06-23 11:13:34,24.19,,1013.45,OK
373,arduino_dht22,2026-06-23 11:13:35,23.00,47.20,,OK
374,esp32_bmp280,2026-06-23 11:13:35,24.31,,1013.99,OK
375,esp32_bmp280,2026-06-23 11:13:36,24.28,,1012.16,OK
376,arduino_dht22,2026-06-23 11:13:37,23.00,46.00,,OK
377,esp32_bmp280,2026-06-23 11:13:37,24.32,,1013.52,OK
378,esp32_bmp280,2026-06-23 11:13:38,24.46,,1011.72,OK
379,arduino_dht22,2026-06-23 11:13:39,23.30,46.70,,OK
380,esp32_bmp280,2026-06-23 11:13:39,24.35,,1011.73,OK
381,esp32_bmp280,2026-06-23 11:13:40,24.63,,1014.03,OK
382,arduino_dht22,2026-06-23 11:13:41,22.30,48.50,,OK
383,esp32_bmp280,2026-06-23 11:13:41,24.22,,1011.84,OK
